strategy,entry_run,exit_run,final_value,total_return_pct,annual_return_pct,annualized_volatility_pct,sharpe_ratio,max_drawdown_pct,closed_trades,win_rate_pct,buy_hold_return_pct,trend_period
Hybrid Trend-Filtered Mean Reversion,2,4,1831112.8787404858,290.7509005470262,10.74662075917158,22.49514328296678,0.03568724525580844,73.62930585349466,83,37.34939759036144,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,2,5,1634919.9847828324,279.4178957174967,10.306867603353338,23.01775591587655,0.034115794693988816,72.86765790635849,81,38.2716049382716,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,2,6,2663268.958096836,328.2139392884652,12.212808813431174,23.730502693779005,0.03808029154144125,64.29077084396219,74,40.54054054054054,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,2,7,3790444.8219811297,363.5068472478724,13.611817071328113,24.33760118064529,0.04071314106304621,68.9596335941532,70,45.714285714285715,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,2,8,3441343.937145343,353.84471674867416,13.227086132465537,25.051986698752042,0.03916423519270445,72.83381170497084,67,46.26865671641791,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,2,9,3782381.483020534,363.29389262081276,13.603323478471552,25.478634497303947,0.03959422183507906,75.80596446559515,64,46.875,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,2,10,3530595.350545664,356.4051604264186,13.328911937795146,25.704903107269843,0.038798087202159444,79.41676244205416,63,47.61904761904761,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,3,1,463202.00177281094,153.299306187796,5.52937927867612,16.960647404912148,0.025316998071815956,44.29326026077595,90,30.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,3,2,421877.15579025866,143.95439856470006,5.183731895163896,17.86190920148232,0.02343928124762586,53.56499209674367,81,33.33333333333333,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,3,3,1009539.0322012474,231.20789159021746,8.455610546836477,19.368753258386658,0.03248917067507203,61.04044299251085,74,36.486486486486484,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,3,4,800827.7729119199,208.0475722869973,7.57733814810391,19.884293638731236,0.029396073735445834,65.92590915076683,72,34.72222222222222,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,3,5,753250.8303564357,201.9228094386711,7.346269872221405,20.316354348551428,0.02837231762149628,63.352713615911206,71,33.80281690140845,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,3,6,963827.4487962363,226.57420975762815,8.279322802045662,21.078568235817595,0.030406533782254247,60.8249275706704,66,34.84848484848485,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,3,7,1503267.381253028,271.02260863147853,9.982232605690097,21.734074110978792,0.034415533297205536,64.29195633173941,62,40.32258064516129,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,3,8,1283829.3676296242,255.24323981768032,9.37464785003285,22.468199365010623,0.0322151837031721,66.8743905306759,61,39.34426229508197,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,3,9,1427588.6223275762,265.8571835806001,9.782967176595754,22.932022409942483,0.03287370198653541,67.50956340708917,60,43.333333333333336,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,3,10,1498102.2345712474,270.6784223137662,9.968943768468089,23.1262742212095,0.0331833931636779,69.18612341725265,59,40.67796610169492,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,4,1,411974.85035607126,141.5792118673176,5.096059604060275,12.285727041289936,0.029313587391895417,39.07767200151937,50,28.000000000000004,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,4,2,329937.3471806497,119.37325934189732,4.2799261738156975,13.293530315459535,0.02401084735979158,44.60609209019518,48,31.25,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,4,3,559069.1564623283,172.1102994116648,6.228604415775889,15.171641936491437,0.02983435952383105,52.765868758234966,45,35.55555555555556,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,4,4,447972.4900458632,149.95616383938324,5.405593571650858,15.571005222221679,0.026176427475334146,58.71368112046199,45,37.77777777777778,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,4,5,476795.45561599155,156.1917398710899,5.636593995440997,15.979895453218628,0.026622517784656317,63.210595284850115,44,34.090909090909086,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,4,6,496094.3057863654,160.15958552977187,5.783848561110282,16.959080872926744,0.02620725748618303,62.42180480927847,43,37.2093023255814,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,4,7,832068.0319946619,211.87440207145497,7.721964954151861,17.79258009169472,0.031915487983646545,56.21537767623573,40,40.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,4,8,919699.3443951028,221.8876631073838,8.101315288173232,17.998796362111968,0.03290705445248655,57.16319427158788,40,37.5,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,4,9,1066344.0163462379,236.68210836984977,8.664246184105803,18.73205035453463,0.033815204998721184,54.55714332053055,40,40.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,4,10,1133605.6314616932,242.79884701439417,8.89784469639725,19.252661891074034,0.03393161813481922,51.817591836959046,40,37.5,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,5,1,103105.23317961524,3.0579962035852097,0.10741555439655438,4.6141654647240955,0.0029282578053394914,22.103035210865496,19,21.052631578947366,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,5,2,82914.77231338398,-18.735694535023452,-0.6556006281005332,5.226396799798303,-0.006257390649624357,28.922373323888685,19,26.31578947368421,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,5,3,102535.82292064204,2.5042043441002875,0.08795444085733678,6.719273878715741,0.0029540300980268564,29.468894454449924,19,36.84210526315789,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,5,4,85051.40645789137,-16.191433044707527,-0.5668245010423136,7.2117858221839874,-0.0026700622962579166,38.30493631245465,19,26.31578947368421,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,5,5,85215.3047369614,-15.99891352219808,-0.560103749372449,7.465424128853816,-0.0023643615393929758,36.476595300006856,19,26.31578947368421,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,5,6,80729.42842906572,-21.406701263762283,-0.7487139563534297,7.925889274490351,-0.003446100851914047,43.88805743510572,19,31.57894736842105,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,5,7,71614.0264722698,-33.38792307567834,-1.1653158849326646,8.325981234522713,-0.006214213805879362,49.51665255650626,19,26.31578947368421,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,5,8,87518.44481774584,-13.332061692218636,-0.4669586611868926,8.410286609857412,-0.0008332485418293366,43.39753724834457,19,36.84210526315789,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,5,9,93266.89161210819,-6.970500057524647,-0.24441605938197242,8.762782053764719,0.0010169066578711822,42.203010576540265,19,36.84210526315789,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,5,10,105399.03402825508,5.258328525985914,0.18477607197368656,8.809802369330244,0.004112367337098866,34.21343963421433,19,31.57894736842105,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,6,1,101333.7581847042,1.3249419353444198,0.0465259171496331,2.7867072460226803,0.0019362668190033264,16.188569367071974,7,28.57142857142857,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,6,2,92884.42070369347,-7.381425386876963,-0.2588062281573262,3.2718802089637524,-0.003933541170571112,20.645402513034398,7,28.57142857142857,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,6,3,118429.79489677923,16.91501508919105,0.5956067647576969,4.703916885552158,0.009449764744527866,24.753464657351966,7,42.857142857142854,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,6,4,113941.15425168682,13.051193835940461,0.4592431185482087,4.822580451108877,0.007520998983084055,23.95560489819768,7,57.14285714285714,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,6,5,116192.36792344369,15.0076975751521,0.5282697742129847,4.95632488870984,0.008275248997468239,25.25704340799714,7,57.14285714285714,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,6,6,103393.187176452,3.3368885873474765,0.11721770231623567,5.376435511064139,0.0030952831899968627,33.94242446496597,7,71.42857142857143,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,6,7,111538.04386294707,10.919554728095447,0.3840915285167619,5.242820993324304,0.006275006401676885,30.72339248808986,7,57.14285714285714,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,6,8,113843.20757346855,12.965194355141893,0.45621009165066645,5.484873138417296,0.006972057173906623,30.849737056603246,7,57.14285714285714,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,6,9,113943.58845836652,13.053330184913047,0.45931846440010204,5.559991717214281,0.006959270432373005,29.70011172944519,7,57.14285714285714,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,6,10,123960.99611149532,21.479678264856716,0.7569433531434762,5.6215616351421565,0.010236466550419022,25.18557723872069,7,57.14285714285714,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,7,1,113092.13405336709,12.30326461156069,0.43286823961079907,1.977369060026404,0.014383250467484298,6.813423882740867,3,33.33333333333333,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,7,2,106820.68981973396,6.598144667963305,0.23191136036469812,2.116251458106606,0.0075632446629626945,8.959076365025364,3,33.33333333333333,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,7,3,117616.21576683056,16.22567291443262,0.5712646446661848,2.976835359757669,0.012992474779302399,15.242980299754981,3,66.66666666666666,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,7,4,114088.119695709,13.180094359831168,0.4637893495344802,3.1389038544254935,0.010278121330380767,15.006008793563456,3,66.66666666666666,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,7,5,119544.93109736891,17.8522107162629,0.6287105612444605,3.1946329462081082,0.013367775815542327,13.927805137523887,3,66.66666666666666,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,7,6,122097.9725829363,19.965359042835416,0.7033915538187148,3.205956871591234,0.014785467424429287,14.381987827036733,3,66.66666666666666,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,7,7,122248.25782437356,20.0883691339975,0.7077405727888079,3.3655464542234474,0.014262892790405464,14.887621361581134,3,66.66666666666666,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,7,8,120724.42409905672,18.834027540649533,0.6634021600144465,3.378958684880752,0.013393722950992152,15.407462650173645,3,66.66666666666666,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,7,9,119982.83858942984,18.21785348120472,0.6416288162660602,3.4107894189145416,0.012889032088402082,16.014420111977405,3,66.66666666666666,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,7,10,123128.06180536385,20.805478064970327,0.7330976819416763,3.4640580656424307,0.014375855696097721,13.621995262079432,3,66.66666666666666,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,8,1,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,8,2,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,8,3,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,8,4,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,8,5,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,8,6,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,8,7,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,8,8,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,8,9,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,8,10,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,9,1,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,9,2,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,9,3,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,9,4,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,9,5,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,9,6,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,9,7,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,9,8,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,9,9,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,9,10,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,10,1,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,10,2,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,10,3,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,10,4,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,10,5,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,10,6,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,10,7,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,10,8,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,10,9,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,10,10,100000.0,0.0,0.0,0.0,,0.0,0,0.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,1,1,8031615.469468523,438.59707799802175,16.646693911180417,23.33111680922958,0.048920449048388236,45.45418002106883,97,31.958762886597935,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,1,2,15590072.04086811,504.9219397019578,19.394663524636215,23.70950994281621,0.05456205048653369,42.266959803903426,78,33.33333333333333,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,1,3,18163039.188614693,520.1973808365956,20.036672056097387,24.02748134353438,0.05544509633949702,42.32302317039457,68,39.705882352941174,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,1,4,22578632.759695522,541.9589098938768,20.957249809408836,24.443096472685397,0.056732548220010025,42.6729552274065,58,39.6551724137931,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,1,5,17923805.043519188,518.8714813018753,19.98080952929608,24.752798417520697,0.054154232974910246,47.18390371415622,52,46.15384615384615,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,1,6,15273505.178617569,502.8704732616071,19.30870478551239,24.998342280847563,0.05236203432318055,44.692812696091096,49,44.89795918367347,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,1,7,13251759.473613156,488.6715427071774,18.715447808315293,25.2156714419582,0.050802192337191035,50.003233753434095,46,39.130434782608695,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,1,8,12237169.537901832,480.7063096433093,18.383938501106062,25.440600841442862,0.04979893293027247,56.043465095343066,45,40.0,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,1,9,13507513.875076555,490.5831206942376,18.795144827604204,25.71706247353673,0.05028483651789326,49.48765021285016,43,39.53488372093023,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,1,10,15908338.579918269,506.9428503738736,19.479402496851485,25.961943140963108,0.05135941710608801,51.653719012525244,41,43.90243902439025,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,2,1,3147771.516933527,344.9279840525515,12.873191822174554,22.067958673203307,0.04152115041110225,58.53080727671923,79,31.645569620253166,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,2,2,5473820.775316591,400.25619619944337,15.087098317012371,22.489519572294075,0.04644469121634013,52.797762314245126,68,41.17647058823529,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,2,3,6034198.16811644,410.00280751068516,15.481574342474083,22.829217724107984,0.0469098131659692,60.744813443062824,60,43.333333333333336,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,2,4,9280971.195138823,453.0551288964819,17.2402775726895,23.42872437609957,0.05015037897923928,59.91543105570909,50,42.0,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,2,5,7254118.117280709,428.41544167771525,16.230485223798915,23.762999485823666,0.04736146879393635,58.37209310663935,46,43.47826086956522,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,2,6,6224654.540761186,413.1103038344836,15.60762854410295,24.03010597597177,0.04559533769487603,64.39123656411869,43,46.51162790697674,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,2,7,5759046.2467167545,405.33569718243746,15.29251327568146,24.232437810971657,0.04463302800121444,66.8097278771561,40,37.5,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,2,8,5647945.57569321,403.3876957106904,15.213692813418811,24.46866679293692,0.04417177362101397,69.97908607150399,39,41.02564102564102,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,2,9,6666526.687332697,419.96840807593935,15.886311616753835,24.776087243116304,0.04529500566603164,64.76024842156605,38,42.10526315789473,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,2,10,8568641.963727612,445.06943490712166,16.912047819717195,25.037186363917847,0.04720557391175078,62.58033292638731,37,45.94594594594595,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,3,1,3263612.0351679865,348.54196612567716,13.016492889817362,20.88679178443712,0.043479678756001304,62.42137504747751,59,30.508474576271187,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,3,2,4677609.2806687215,384.5372234937743,14.453739077488454,21.287363563063536,0.04664832319347406,53.85951068019444,52,36.53846153846153,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,3,3,4308306.705322967,376.3130044118652,14.123753525982616,21.657610234360387,0.0452408773079133,56.01324921250277,49,36.734693877551024,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,3,4,7918722.946413332,437.1815041679415,16.58873848082261,22.363516657627976,0.05027581038471261,56.36353373599163,42,42.857142857142854,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,3,5,5454245.3428211445,399.8979360421303,15.072624105059292,22.685710039699327,0.04612856700004201,54.553193354792114,41,41.46341463414634,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,3,6,4632527.601968293,383.56877304846586,14.41483181742241,22.956119972816172,0.04418302181686614,60.89668601237483,38,42.10526315789473,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,3,7,4503239.440997181,380.73821065611884,14.301190469331008,23.182792003086853,0.043624432266410454,62.599017265660116,36,36.11111111111111,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,3,8,4759197.1246771505,386.26640757244604,14.523241530084196,23.510283895974222,0.043738974011913456,66.27540155242838,35,37.142857142857146,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,3,9,5325503.245287359,397.5092306281359,14.976163582899968,23.829579671128943,0.044394562417545066,61.24153744693806,34,44.11764705882353,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,3,10,6027333.754156991,409.8889842460319,15.476959762858822,24.051622347526234,0.045263927894621254,59.96564085770509,34,44.11764705882353,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,4,1,2487386.2048613336,321.3817535208827,11.94397837363385,18.702928415633846,0.043879369443150115,59.638762619353706,41,31.70731707317073,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,4,2,3570731.17507823,357.5355478760978,13.373895237584835,19.17420432153713,0.047259889619687336,56.81526276761042,39,38.46153846153847,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,4,3,3412015.8539116327,352.9888369128402,13.193069214194256,19.513306799548154,0.04613279183602149,55.26327384336709,38,39.473684210526315,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,4,4,4949208.339407129,390.1812725351346,14.680750752316237,20.238629179952618,0.048996772993859884,55.755022099800726,34,41.17647058823529,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,4,5,4232456.546172585,374.536766126185,14.052609414942266,20.55716000301963,0.04675513985538354,52.134699590589896,33,39.39393939393939,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,4,6,3530714.2577375015,356.4085282773824,13.32904593351534,20.839057870440016,0.04437664599690275,55.8303538777146,32,40.625,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,4,7,4351798.67096137,377.3174340209534,14.164003834625927,21.31485803203239,0.04585477800343636,57.921872827949265,31,38.70967741935484,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,4,8,5276525.786902059,396.5852979233647,14.938875092049189,21.589442565073682,0.04741248111426777,59.34748339211692,30,40.0,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,4,9,5093217.539459345,393.0494853406537,14.79628684063469,21.737878788047084,0.04682265515115309,57.863105561154924,30,40.0,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,4,10,6432763.959452472,416.398939260804,15.74118043511866,21.853467791109455,0.04901071214630122,55.808882928551625,30,40.0,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,5,1,188812.5994835168,63.55848000491831,2.256446008392545,11.160093817050265,0.016124682809377188,56.40264741104267,20,30.0,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,5,2,221667.7802649783,79.60095897388159,2.8339870127688793,11.267734460726707,0.01917714793620742,50.41557072687806,20,30.0,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,5,3,237440.58620461295,86.47472428415362,3.082444783581828,11.503909748186146,0.020248327688353912,48.28516092006586,20,30.0,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,5,4,605412.4122996532,180.07397130316585,6.526016882500503,14.96018453636766,0.031292767458353174,52.05232629203409,20,30.0,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,5,5,684867.3771622437,192.40550235471758,6.988195876735949,15.179636983979128,0.032775638451497856,47.7054693102239,19,31.57894736842105,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,5,6,548654.6627467955,170.22990279942053,6.15850011214791,15.477237483742744,0.02916507654598707,50.9531804577281,19,31.57894736842105,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,5,7,572490.6058841292,174.48261403696563,6.317114287986608,15.84522068174575,0.02931286337043788,56.246687224225695,19,31.57894736842105,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,5,8,559474.7914976875,172.1828285338117,6.2313093487802425,16.198628798980305,0.028578102995856156,57.7258731501754,19,31.57894736842105,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,5,9,608993.5965913411,180.66375670381868,6.548076183979008,16.32539161462156,0.029584919177085153,55.181101605285775,19,36.84210526315789,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,5,10,730744.3349743788,198.88934656288814,7.232010589047381,16.441136631177432,0.03189959973989886,51.83958848150178,19,36.84210526315789,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,6,1,110886.38480173297,10.333593078387725,0.3634431238402955,7.262060589190374,0.005464093965124941,47.65618388064291,9,33.33333333333333,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,6,2,135011.07849594235,30.0186652016266,1.0594462567564518,7.149325045674819,0.011554726845569312,37.61423888955767,9,33.33333333333333,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,6,3,142164.08104917986,35.18117048828033,1.2427739740036248,7.463798809799839,0.012785498320098041,38.53769773071029,9,33.33333333333333,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,6,4,346213.8854671757,124.1886564173782,4.456366177208354,11.997868896446757,0.026626632646369462,49.009406550128034,9,33.33333333333333,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,6,5,313067.89154627593,114.12498869300238,4.087964739070016,12.121420371550178,0.024598007959342527,54.09700883991776,9,33.33333333333333,68657.96570502703,100
Hybrid Trend-Filtered Mean Reversion,6,6,268482.70248951396,98.76163031277306,3.52806137889169,12.300228063589792,0.021592699336516533,58.54210984113926,9,33.33333333333333,68657.96570502703,100
